name,memory_mib,cpu_milli,gpu_score,gpu_milli,gpu_spec,decline,qos,time,from,offload,to,start,end,run,complete_cpu,complete_size_cpu,complete_gpu,complete_size_gpu,off_start,off_end,offload_success,complete_offload,mes_cpu,mes_gpu
openb-pod-6315,32768,8000,0,1.0,-2,540.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4833,49152,32000,0,0.0,-1,181.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4584,47104,11908,0,0.65,-2,1327.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7471,2048,1000,0,0.32,-2,345.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3056,48128,11400,0,1.0,-2,680.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4954,47104,11908,0,0.65,-2,1550.0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6048,47104,11908,0,1.0,-2,1181.0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2038,49152,32000,0,0.0,-1,178.0,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2962,48128,11400,0,1.0,-2,1358.0,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7203,77824,11400,0,1.0,-2,1237.0,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5836,49152,11300,0,1.0,-2,854.0,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2142,30517,4000,0,0.23,-2,138.0,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7930,49152,11300,0,1.0,-2,83.0,1,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2562,16384,12000,0,1.0,-2,569.0,1,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3774,16384,12000,0,1.0,-2,4381.0,1,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3399,48128,11400,0,1.0,-2,653.0,1,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3639,64512,18708,0,1.0,1,2749.0,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7803,49152,11300,0,1.0,1,572.0,1,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5508,31250,4000,0,1.0,-2,902.0,1,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0682,51200,16500,0,0.0,-1,16965.0,1,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1065,22888,4000,0,0.11,-2,9409.0,2,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5233,58368,14200,0,1.0,-2,56.0,1,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0404,51200,15400,0,0.0,-1,389.0,1,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6144,64512,18708,0,1.0,-2,499.0,1,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2864,22888,4000,0,0.48,-2,467.0,2,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3666,30517,4000,0,0.32,-2,2968.0,2,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4428,30517,4000,0,0.32,-2,6241.0,2,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1735,15258,4000,0,0.32,1,4379.0,2,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0485,51200,15400,0,0.0,-1,5887.0,1,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5155,49152,11300,0,1.0,-2,60.0,1,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2419,51200,15400,0,0.0,-1,977.0,1,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6255,49152,11300,0,1.0,-2,1674.0,1,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7906,22888,4000,0,0.32,0,2999.0,2,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1121,49152,32000,0,0.0,-1,146.0,2,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5031,47104,11908,0,0.65,-2,1689.0,1,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-8038,15258,4000,0,0.32,-2,477.0,2,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-8012,77824,11400,0,1.0,-2,118.0,1,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0391,30517,8000,0,0.47,-2,78.0,2,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6957,64512,18708,0,1.0,-2,738.0,1,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1758,57344,12500,0,0.0,-1,167.0,1,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
