name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0005,20000,65536,0,0,-1.0,1,Running,2759674,12902960,2759676.0
openb-pod-0016,32000,65536,0,0,-1.0,1,Running,8962274,12902960,8962277.0
openb-pod-0048,8000,30517,0,0,-1.0,2,Running,9992086,10013821,9992086.0
openb-pod-0049,8000,30517,0,0,-1.0,2,Running,9992086,10013820,9992086.0
openb-pod-0050,8000,30517,0,0,-1.0,2,Running,9992104,10013762,9992104.0
openb-pod-0060,8000,30517,0,0,-1.0,2,Running,10000884,10013817,10000885.0
openb-pod-0196,8000,30517,0,0,-1.0,2,Running,10078477,10102841,10078477.0
openb-pod-0203,8000,30517,0,0,-1.0,2,Running,10084399,10085429,10084399.0
openb-pod-0248,12500,65536,0,0,-1.0,1,Running,10104296,10104509,10104330.0
openb-pod-0255,8000,30517,0,0,-1.0,2,Running,10106593,10116316,10106594.0
openb-pod-0266,12500,57344,0,0,-1.0,1,Running,10110007,10110254,10110009.0
openb-pod-0276,12500,57344,0,0,-1.0,1,Running,10113134,10114352,10113136.0
openb-pod-0277,12500,57344,0,0,-1.0,1,Running,10113347,10113526,10113349.0
openb-pod-0281,12500,57344,0,0,-1.0,1,Running,10114302,10114553,10114339.0
openb-pod-0285,16000,65536,0,0,-1.0,1,Running,10118657,10205138,10118657.0
openb-pod-0287,12500,57344,0,0,-1.0,1,Running,10119674,10120128,10119676.0
openb-pod-0288,12500,57344,0,0,-1.0,1,Running,10119716,10120218,10119726.0
openb-pod-0289,12500,57344,0,0,-1.0,1,Running,10119805,10120073,10119839.0
openb-pod-0352,8000,30517,0,0,-1.0,2,Running,10164859,10190091,10164860.0
openb-pod-0365,15400,51200,0,0,-1.0,1,Running,10173573,10173739,10173576.0
openb-pod-0374,12500,57344,0,0,-1.0,1,Running,10175948,10176117,10175950.0
openb-pod-0393,15400,51200,0,0,-1.0,1,Running,10184106,10184386,10184143.0
openb-pod-0394,15400,51200,0,0,-1.0,1,Running,10184155,10184386,10184188.0
openb-pod-0401,16500,51200,0,0,-1.0,1,Running,10188685,10189323,10188721.0
openb-pod-0411,12500,57344,0,0,-1.0,1,Running,10192642,10193088,10192675.0
openb-pod-0417,12500,57344,0,0,-1.0,1,Running,10193066,10194306,10193100.0
openb-pod-0423,12500,57344,0,0,-1.0,1,Running,10195440,10209545,10195476.0
openb-pod-0424,12500,57344,0,0,-1.0,1,Running,10195608,10195852,10195641.0
openb-pod-0425,12500,57344,0,0,-1.0,1,Running,10195689,10196096,10195721.0
openb-pod-0437,12500,57344,0,0,-1.0,1,Running,10197275,10198722,10197277.0
openb-pod-0438,12500,57344,0,0,-1.0,1,Running,10197421,10211864,10197424.0
openb-pod-0453,12500,57344,0,0,-1.0,1,Running,10200734,10208292,10200772.0
openb-pod-0473,12500,57344,0,0,-1.0,1,Running,10206679,10206802,10206715.0
openb-pod-0477,8000,16384,0,0,-1.0,1,Succeeded,10207773,10211433,10207773.0
openb-pod-0486,12500,57344,0,0,-1.0,1,Running,10209742,10210065,10209745.0
openb-pod-0574,8000,30517,0,0,-1.0,2,Running,10257764,10258638,10257765.0
openb-pod-0648,12500,57344,0,0,-1.0,1,Running,10277517,10280757,10277554.0
openb-pod-0649,12500,57344,0,0,-1.0,1,Running,10277525,10277654,10277529.0
openb-pod-0650,12500,57344,0,0,-1.0,1,Running,10277534,10277969,10277536.0
openb-pod-0651,12500,57344,0,0,-1.0,1,Running,10277694,10278200,10277696.0
openb-pod-0652,12500,57344,0,0,-1.0,1,Running,10277875,10277930,10277877.0
openb-pod-0662,20000,65536,0,0,-1.0,1,Running,10280529,11556705,10280531.0
openb-pod-0709,16500,51200,0,0,-1.0,1,Running,10286759,10291869,10286761.0
openb-pod-0711,16500,51200,0,0,-1.0,1,Running,10287519,10288374,10287553.0
openb-pod-0713,16500,51200,0,0,-1.0,1,Running,10287684,10287754,10287688.0
openb-pod-0721,12500,57344,0,0,-1.0,1,Running,10288768,10290609,10288770.0
openb-pod-0726,16500,51200,0,0,-1.0,1,Running,10290883,10291075,10290886.0
openb-pod-0728,16500,51200,0,0,-1.0,1,Running,10291056,10292236,10291058.0
openb-pod-0749,15400,51200,0,0,-1.0,1,Running,10296892,10297109,10296926.0
openb-pod-0750,15400,51200,0,0,-1.0,1,Running,10296892,10297122,10296926.0
openb-pod-0751,15400,51200,0,0,-1.0,1,Running,10296894,10297149,10296931.0
openb-pod-0790,12500,57344,0,0,-1.0,1,Running,10307415,10308336,10307418.0
openb-pod-0791,12500,57344,0,0,-1.0,1,Running,10307447,10308343,10307483.0
openb-pod-0792,12500,57344,0,0,-1.0,1,Running,10307455,10308316,10307458.0
openb-pod-0793,12500,57344,0,0,-1.0,1,Running,10307522,10308405,10307524.0
openb-pod-0795,12500,57344,0,0,-1.0,1,Running,10307826,10308032,10307828.0
openb-pod-0825,8000,30517,0,0,-1.0,2,Running,10337702,10364794,10337702.0
openb-pod-0826,8000,30517,0,0,-1.0,2,Running,10337703,10351349,10337703.0
openb-pod-0827,8000,30517,0,0,-1.0,2,Running,10337704,10348485,10337705.0
openb-pod-0828,8000,30517,0,0,-1.0,2,Running,10337720,10364796,10337720.0
openb-pod-0829,8000,30517,0,0,-1.0,2,Running,10337723,10364789,10337723.0
openb-pod-0830,8000,30517,0,0,-1.0,2,Running,10337728,10364792,10337728.0
openb-pod-0843,12500,57344,0,0,-1.0,1,Running,10344375,10344757,10344378.0
openb-pod-0844,12500,57344,0,0,-1.0,1,Running,10344402,10344914,10344437.0
openb-pod-0847,12500,57344,0,0,-1.0,1,Running,10344553,10344771,10344556.0
openb-pod-0848,12500,57344,0,0,-1.0,1,Running,10344582,10344804,10344618.0
openb-pod-0854,8000,30517,0,0,-1.0,2,Running,10345885,10364858,10345885.0
openb-pod-0859,12500,57344,0,0,-1.0,1,Running,10347973,10352512,10348010.0
openb-pod-0860,12500,57344,0,0,-1.0,1,Running,10347977,10348401,10347980.0
openb-pod-0861,12500,57344,0,0,-1.0,1,Running,10348022,10348250,10348058.0
openb-pod-0864,12500,57344,0,0,-1.0,1,Running,10348096,10348740,10348098.0
openb-pod-0865,12500,57344,0,0,-1.0,1,Running,10348132,10348350,10348168.0
openb-pod-0870,12500,57344,0,0,-1.0,1,Running,10349014,10349428,10349049.0
openb-pod-0871,12500,57344,0,0,-1.0,1,Running,10349068,10350252,10349103.0
openb-pod-0878,12500,57344,0,0,-1.0,1,Running,10350125,10353615,10350159.0
openb-pod-0879,12500,57344,0,0,-1.0,1,Running,10350130,10350743,10350164.0
openb-pod-0880,12500,57344,0,0,-1.0,1,Running,10350591,10351298,10350593.0
openb-pod-0882,12500,57344,0,0,-1.0,1,Running,10350733,10350838,10350735.0
openb-pod-0885,16500,51200,0,0,-1.0,1,Running,10352776,10354225,10352778.0
openb-pod-0886,12500,57344,0,0,-1.0,1,Running,10352901,10353792,10352904.0
openb-pod-0887,12500,57344,0,0,-1.0,1,Running,10352949,10354342,10352985.0
openb-pod-0888,12500,57344,0,0,-1.0,1,Running,10353010,10353615,10353015.0
openb-pod-0903,16500,51200,0,0,-1.0,1,Running,10358521,10360868,10358559.0
openb-pod-0910,15400,51200,0,0,-1.0,1,Running,10361018,10362461,10361053.0
openb-pod-0918,15400,51200,0,0,-1.0,1,Running,10362004,10362107,10362006.0
openb-pod-0919,12500,57344,0,0,-1.0,1,Running,10362009,10362283,10362043.0
openb-pod-0924,12500,57344,0,0,-1.0,1,Running,10362608,10364521,10362644.0
